reference_number;entry_date;amount;debit_account_code;credit_account_code;debit_account_name_src;credit_account_name_src;txn_description;classification_code;work_item_code;expenses_code;transaction_classification name;work_items  descrip;expenses_categories description
1-01;31/08/2022;7054506;4110;1210;إيرادات العقود الإنشائية الأساسية;ذمم تجارية - العملاء;مستخلص رقم 3;7;;30000;قيد استحقاق الايراد;;جهاز مدينة حدائق العاصمة
2-01;31/08/2022;30234;1210;5100;ذمم تجارية - العملاء;تكاليف تنفيذ مباشرة;مستخلص رقم 3;8;1;93;قيد سداد الايراد;مصاريف ادارية;دمغة هندسية
2-02;31/08/2022;30234;1210;5100;ذمم تجارية - العملاء;تكاليف تنفيذ مباشرة;مستخلص رقم 3;8;1;94;قيد سداد الايراد;مصاريف ادارية;دمغة تطبيقية
2-03;31/08/2022;40411;1210;5100;ذمم تجارية - العملاء;تكاليف تنفيذ مباشرة;مستخلص رقم 3;8;1;95;قيد سداد الايراد;مصاريف ادارية;دمغة عادية
2-04;31/08/2022;121233;1210;5100;ذمم تجارية - العملاء;تكاليف تنفيذ مباشرة;مستخلص رقم 3;8;1;96;قيد سداد الايراد;مصاريف ادارية;دمغة اضافية
2-05;31/08/2022;147137;1210;5100;ذمم تجارية - العملاء;تكاليف تنفيذ مباشرة;مستخلص رقم 3;8;1;97;قيد سداد الايراد;مصاريف ادارية;تأمينات اجتماعية
2-06;31/08/2022;24187;1210;5100;ذمم تجارية - العملاء;تكاليف تنفيذ مباشرة;مستخلص رقم 3;8;1;98;قيد سداد الايراد;مصاريف ادارية;عمالة غير منتظمة
2-07;31/08/2022;70545;1210;5100;ذمم تجارية - العملاء;تكاليف تنفيذ مباشرة;مستخلص رقم 3;8;1;99;قيد سداد الايراد;مصاريف ادارية;صندوق تحيا مصر
2-08;31/08/2022;264;1210;5100;ذمم تجارية - العملاء;تكاليف تنفيذ مباشرة;مستخلص رقم 3;8;1;101;قيد سداد الايراد;مصاريف ادارية;دمغة توقيع
2-09;31/08/2022;5000;1210;5100;ذمم تجارية - العملاء;تكاليف تنفيذ مباشرة;مستخلص رقم 3;8;1;102;قيد سداد الايراد;مصاريف ادارية;دمغة الاتحاد المصرى للتشييد
2-10;31/08/2022;67186;1210;2430;ذمم تجارية - العملاء;ضرائب استقطاع عند المنبع مستحقة;مستخلص رقم 3;8;;30008;قيد سداد الايراد;;ضرائب ت - ص 1%
2-11;31/08/2022;352725;1210;1220;ذمم تجارية - العملاء;مستحقات محتجزة من العقود;مستخلص رقم 3;8;;30009;قيد سداد الايراد;;تأمين ضمان اعمال  5%
2-12;31/08/2022;17636;1210;1220;ذمم تجارية - العملاء;مستحقات محتجزة من العقود;مستخلص رقم 3;8;;30010;قيد سداد الايراد;;ازالة مخلفات 0.25%
2-13;31/08/2022;335929;1210;2410;ذمم تجارية - العملاء;ضريبة القيمة المضافة على المخرجات;مستخلص رقم 3;8;;30007;قيد سداد الايراد;;ضرائب قيمة مضافة 5%
2-14;31/08/2022;705451;1210;2230;ذمم تجارية - العملاء;دفعات مقدمة من العملاء / التزامات تعاقدية;مستخلص رقم 3;8;;30006;قيد سداد الايراد;;استهلاك الدفعة المقدمة 10%
3-01;31/08/2022;4686423;1210;1120;ذمم تجارية - العملاء;البنوك;مستخلص رقم 3;8;30000;40000;قيد سداد الايراد;شركة البركة;بنك مصر رقم حساب
3-02;31/08/2022;419911;1210;1120;ذمم تجارية - العملاء;البنوك;مستخلص رقم 3;8;30001;40000;قيد سداد الايراد;شركة الحديبية;بنك مصر رقم حساب
4-01;30/09/2022;5767674;4110;1210;إيرادات العقود الإنشائية الأساسية;ذمم تجارية - العملاء;مستخلص رقم 4;7;;30000;قيد استحقاق الايراد;;جهاز مدينة حدائق العاصمة
5-01;30/09/2022;24721.46198;1210;5100;ذمم تجارية - العملاء;تكاليف تنفيذ مباشرة;مستخلص رقم 4;8;1;93;قيد سداد الايراد;مصاريف ادارية;دمغة هندسية
5-02;30/09/2022;24721.46198;1210;5100;ذمم تجارية - العملاء;تكاليف تنفيذ مباشرة;مستخلص رقم 4;8;1;94;قيد سداد الايراد;مصاريف ادارية;دمغة تطبيقية
5-03;30/09/2022;33057.82727;1210;5100;ذمم تجارية - العملاء;تكاليف تنفيذ مباشرة;مستخلص رقم 4;8;1;95;قيد سداد الايراد;مصاريف ادارية;دمغة عادية
5-04;30/09/2022;99173.54525;1210;5100;ذمم تجارية - العملاء;تكاليف تنفيذ مباشرة;مستخلص رقم 4;8;1;96;قيد سداد الايراد;مصاريف ادارية;دمغة اضافية
5-05;30/09/2022;120297.25;1210;5100;ذمم تجارية - العملاء;تكاليف تنفيذ مباشرة;مستخلص رقم 4;8;1;97;قيد سداد الايراد;مصاريف ادارية;تأمينات اجتماعية
5-06;30/09/2022;19774.88;1210;5100;ذمم تجارية - العملاء;تكاليف تنفيذ مباشرة;مستخلص رقم 4;8;1;98;قيد سداد الايراد;مصاريف ادارية;عمالة غير منتظمة
5-07;30/09/2022;57677;1210;5100;ذمم تجارية - العملاء;تكاليف تنفيذ مباشرة;مستخلص رقم 4;8;1;99;قيد سداد الايراد;مصاريف ادارية;صندوق تحيا مصر
5-08;30/09/2022;54930.2285;1210;2430;ذمم تجارية - العملاء;ضرائب استقطاع عند المنبع مستحقة;مستخلص رقم 4;8;;30008;قيد سداد الايراد;;ضرائب ت - ص 1%
5-09;30/09/2022;288383.7;1210;1220;ذمم تجارية - العملاء;مستحقات محتجزة من العقود;مستخلص رقم 4;8;;30009;قيد سداد الايراد;;تأمين ضمان اعمال  5%
5-10;30/09/2022;14419.185;1210;1220;ذمم تجارية - العملاء;مستحقات محتجزة من العقود;مستخلص رقم 4;8;;30010;قيد سداد الايراد;;ازالة مخلفات 0.25%
5-11;30/09/2022;274651.15;1210;2410;ذمم تجارية - العملاء;ضريبة القيمة المضافة على المخرجات;مستخلص رقم 4;8;;30007;قيد سداد الايراد;;ضرائب قيمة مضافة 5%
5-12;30/09/2022;576767.4;1210;2230;ذمم تجارية - العملاء;دفعات مقدمة من العملاء / التزامات تعاقدية;مستخلص رقم 4;8;;30006;قيد سداد الايراد;;استهلاك الدفعة المقدمة 10%
6-01;30/09/2022;3835785.828;1210;1120;ذمم تجارية - العملاء;البنوك;مستخلص رقم 4;8;30000;40000;قيد سداد الايراد;شركة البركة;بنك مصر رقم حساب
6-02;30/09/2022;343313.3417;1210;1120;ذمم تجارية - العملاء;البنوك;مستخلص رقم 4;8;30001;40000;قيد سداد الايراد;شركة الحديبية;بنك مصر رقم حساب
7-01;30/10/2022;3916055.5;4110;1210;إيرادات العقود الإنشائية الأساسية;ذمم تجارية - العملاء;مستخلص رقم 5;7;;30000;قيد استحقاق الايراد;;جهاز مدينة حدائق العاصمة
8-01;30/10/2022;16785.03624;1210;5100;ذمم تجارية - العملاء;تكاليف تنفيذ مباشرة;مستخلص رقم 5;8;1;93;قيد سداد الايراد;مصاريف ادارية;دمغة هندسية
8-02;30/10/2022;16785.03624;1210;5100;ذمم تجارية - العملاء;تكاليف تنفيذ مباشرة;مستخلص رقم 5;8;1;94;قيد سداد الايراد;مصاريف ادارية;دمغة تطبيقية
8-03;30/10/2022;22445.14622;1210;5100;ذمم تجارية - العملاء;تكاليف تنفيذ مباشرة;مستخلص رقم 5;8;1;95;قيد سداد الايراد;مصاريف ادارية;دمغة عادية
8-04;30/10/2022;67335.48174;1210;5100;ذمم تجارية - العملاء;تكاليف تنفيذ مباشرة;مستخلص رقم 5;8;1;96;قيد سداد الايراد;مصاريف ادارية;دمغة اضافية
8-05;30/10/2022;81677;1210;5100;ذمم تجارية - العملاء;تكاليف تنفيذ مباشرة;مستخلص رقم 5;8;1;97;قيد سداد الايراد;مصاريف ادارية;تأمينات اجتماعية
8-06;30/10/2022;13426;1210;5100;ذمم تجارية - العملاء;تكاليف تنفيذ مباشرة;مستخلص رقم 5;8;1;98;قيد سداد الايراد;مصاريف ادارية;عمالة غير منتظمة
8-07;30/10/2022;39160.555;1210;5100;ذمم تجارية - العملاء;تكاليف تنفيذ مباشرة;مستخلص رقم 5;8;1;99;قيد سداد الايراد;مصاريف ادارية;صندوق تحيا مصر
8-08;30/10/2022;37295.7665;1210;2430;ذمم تجارية - العملاء;ضرائب استقطاع عند المنبع مستحقة;مستخلص رقم 5;8;;30008;قيد سداد الايراد;;ضرائب ت - ص 1%
8-09;30/10/2022;195802.775;1210;1220;ذمم تجارية - العملاء;مستحقات محتجزة من العقود;مستخلص رقم 5;8;;30009;قيد سداد الايراد;;تأمين ضمان اعمال  5%
8-10;30/10/2022;9790.13875;1210;1220;ذمم تجارية - العملاء;مستحقات محتجزة من العقود;مستخلص رقم 5;8;;30010;قيد سداد الايراد;;ازالة مخلفات 0.25%
8-11;30/10/2022;186478.85;1210;2410;ذمم تجارية - العملاء;ضريبة القيمة المضافة على المخرجات;مستخلص رقم 5;8;;30007;قيد سداد الايراد;;ضرائب قيمة مضافة 5%
8-12;30/10/2022;391605.55;1210;2230;ذمم تجارية - العملاء;دفعات مقدمة من العملاء / التزامات تعاقدية;مستخلص رقم 5;8;;30006;قيد سداد الايراد;;استهلاك الدفعة المقدمة 10%
9-01;30/10/2022;2604370.021;1210;1120;ذمم تجارية - العملاء;البنوك;مستخلص رقم 5;8;30000;40000;قيد سداد الايراد;شركة البركة;بنك مصر رقم حساب
9-02;30/10/2022;233098.1432;1210;1120;ذمم تجارية - العملاء;البنوك;مستخلص رقم 5;8;30001;40000;قيد سداد الايراد;شركة الحديبية;بنك مصر رقم حساب
10-01;30/11/2022;7863446.5;4110;1210;إيرادات العقود الإنشائية الأساسية;ذمم تجارية - العملاء;مستخلص رقم 6;7;;30000;قيد استحقاق الايراد;;جهاز مدينة حدائق العاصمة
11-01;30/11/2022;33704.38302;1210;5100;ذمم تجارية - العملاء;تكاليف تنفيذ مباشرة;مستخلص رقم 6;8;1;93;قيد سداد الايراد;مصاريف ادارية;دمغة هندسية
11-02;30/11/2022;33704.38302;1210;5100;ذمم تجارية - العملاء;تكاليف تنفيذ مباشرة;مستخلص رقم 6;8;1;94;قيد سداد الايراد;مصاريف ادارية;دمغة تطبيقية
11-03;30/11/2022;45069.89406;1210;5100;ذمم تجارية - العملاء;تكاليف تنفيذ مباشرة;مستخلص رقم 6;8;1;95;قيد سداد الايراد;مصاريف ادارية;دمغة عادية
11-04;30/11/2022;135209.7687;1210;5100;ذمم تجارية - العملاء;تكاليف تنفيذ مباشرة;مستخلص رقم 6;8;1;96;قيد سداد الايراد;مصاريف ادارية;دمغة اضافية
11-05;30/11/2022;164009;1210;5100;ذمم تجارية - العملاء;تكاليف تنفيذ مباشرة;مستخلص رقم 6;8;1;97;قيد سداد الايراد;مصاريف ادارية;تأمينات اجتماعية
11-06;30/11/2022;26960;1210;5100;ذمم تجارية - العملاء;تكاليف تنفيذ مباشرة;مستخلص رقم 6;8;1;98;قيد سداد الايراد;مصاريف ادارية;عمالة غير منتظمة
11-07;30/11/2022;78634.465;1210;5100;ذمم تجارية - العملاء;تكاليف تنفيذ مباشرة;مستخلص رقم 6;8;1;99;قيد سداد الايراد;مصاريف ادارية;صندوق تحيا مصر
11-08;30/11/2022;74889.9665;1210;2430;ذمم تجارية - العملاء;ضرائب استقطاع عند المنبع مستحقة;مستخلص رقم 6;8;;30008;قيد سداد الايراد;;ضرائب ت - ص 1%
11-09;30/11/2022;393172.325;1210;1220;ذمم تجارية - العملاء;مستحقات محتجزة من العقود;مستخلص رقم 6;8;;30009;قيد سداد الايراد;;تأمين ضمان اعمال  5%
11-10;30/11/2022;19658.61625;1210;1220;ذمم تجارية - العملاء;مستحقات محتجزة من العقود;مستخلص رقم 6;8;;30010;قيد سداد الايراد;;ازالة مخلفات 0.25%
11-11;30/11/2022;374449.85;1210;2410;ذمم تجارية - العملاء;ضريبة القيمة المضافة على المخرجات;مستخلص رقم 6;8;;30007;قيد سداد الايراد;;ضرائب قيمة مضافة 5%
11-12;30/11/2022;786344.65;1210;2230;ذمم تجارية - العملاء;دفعات مقدمة من العملاء / التزامات تعاقدية;مستخلص رقم 6;8;;30006;قيد سداد الايراد;;استهلاك الدفعة المقدمة 10%
12-01;30/11/2022;5229577.707;1210;1120;ذمم تجارية - العملاء;البنوك;مستخلص رقم 6;8;30000;40000;قيد سداد الايراد;شركة البركة;بنك مصر رقم حساب
