code,parent_code,name,name_ar,category,allow_transactions,is_postable,is_standard,legacy_code,legacy_name,level_hint
1000,,1000 - الأصول,الأصول,asset,False,False,True,,,1
1000,,1000 - الأصول,الأصول,asset,False,False,True,1,الاصول,1
2000,,2000 - الالتزامات,الالتزامات,liability,False,False,True,,,1
2000,,2000 - الالتزامات,الالتزامات,liability,False,False,True,2,الخصوم,1
3000,,3000 - حقوق الملكية,حقوق الملكية,equity,False,False,True,,,1
3000,,3000 - حقوق الملكية,حقوق الملكية,equity,False,False,True,21,حقوق الملكية,1
4000,,4000 - الإيرادات,الإيرادات,revenue,False,False,True,,,1
4000,,4000 - الإيرادات,الإيرادات,revenue,False,False,True,4,الايرادات .,1
5000,,5000 - المصروفات والتكاليف,المصروفات والتكاليف,expense,False,False,True,,,1
5000,,5000 - المصروفات والتكاليف,المصروفات والتكاليف,expense,False,False,True,3,المصروفات,1
1100,1000,1100 - أصول غير متداولة,أصول غير متداولة,asset,False,False,True,,,2
1100,1000,1100 - أصول غير متداولة,أصول غير متداولة,asset,False,False,True,12,الاصول طويلة الاجل,2
1200,1000,1200 - أصول متداولة,أصول متداولة,asset,False,False,True,,,2
1200,1000,1200 - أصول متداولة,أصول متداولة,asset,False,False,True,13,الاصول المتداولة,2
2200,2000,2200 - التزامات متداولة,التزامات متداولة,liability,False,False,True,,,2
2200,2000,2200 - التزامات متداولة,التزامات متداولة,liability,False,False,True,23,الالتزامات المتداولة,2
3100,3000,3100 - رأس المال,رأس المال,equity,True,True,True,,,2
4100,4000,4100 - إيرادات التشغيل/العقود,إيرادات التشغيل/العقود,revenue,True,True,True,,,2
4100,4000,4100 - إيرادات التشغيل/العقود,إيرادات التشغيل/العقود,revenue,True,True,True,41,ايرادات العمليات,2
4200,4000,4200 - إيرادات أخرى,إيرادات أخرى,revenue,True,True,True,,,2
4200,4000,4200 - إيرادات أخرى,إيرادات أخرى,revenue,True,True,True,42,ايرادات متنوعة,2
5100,5000,5100 - تكاليف المشروعات/التشغيل,تكاليف المشروعات/التشغيل,expense,True,True,True,,,2
5100,5000,5100 - تكاليف المشروعات/التشغيل,تكاليف المشروعات/التشغيل,expense,True,True,True,31,التكاليف .,2
1110,1100,1110 - أصول ثابتة (PPE),أصول ثابتة (PPE),asset,False,False,True,,,3
1110,1100,1110 - أصول ثابتة (PPE),أصول ثابتة (PPE),asset,False,False,True,11,الاصول الثابتة .,3
1210,1200,1210 - نقدية وبنوك وودائع,نقدية وبنوك وودائع,asset,False,False,True,,,3
1220,1200,1220 - عملاء وأوراق قبض,عملاء وأوراق قبض,asset,False,False,True,,,3
1230,1200,1230 - ذمم مدينة أخرى/سلف/مقدمات,ذمم مدينة أخرى/سلف/مقدمات,asset,False,False,True,,,3
2210,2200,2210 - موردون/مقاولون/أوراق دفع,موردون/مقاولون/أوراق دفع,liability,False,False,True,,,3
2220,2200,2220 - دفعات مقدمة واحتجازات العملاء (Retention),دفعات مقدمة واحتجازات العملاء (Retention),liability,False,False,True,,,3
2230,2200,2230 - ضرائب مستحقة,ضرائب مستحقة,liability,False,False,True,,,3
2270,2200,2270 - تأمينات للغير/أمانات,تأمينات للغير/أمانات,liability,False,False,True,,,3
4210,4200,4210 - أرباح/خسائر رأسمالية,أرباح/خسائر رأسمالية,revenue,True,True,True,,,3
31001,3100,31001 - راس المال .,راس المال .,equity,True,True,True,211,راس المال .,3
11105,1110,11105 - الحاسب الالى,الحاسب الالى,asset,True,True,True,115,الحاسب الالى,4
11106,1110,11106 - الاثاث والمهمات,الاثاث والمهمات,asset,True,True,True,116,الاثاث والمهمات,4
11107,1110,11107 - العدد والادوات,العدد والادوات,asset,True,True,True,117,العدد والادوات,4
12101,1210,12101 - الخزينة .,الخزينة .,asset,True,True,True,131,الخزينة .,4
12103,1210,12103 - البنوك .,البنوك .,asset,True,True,True,132,البنوك .,4
12113,1210,12113 - تامينات العملاء,تامينات العملاء,asset,True,True,True,13111,تامينات العملاء,4
12123,1210,12123 - تامينات لدى الغير .,تامينات لدى الغير .,asset,True,True,True,131313,تامينات لدى الغير .,4
12201,1220,12201 - العملاء .,العملاء .,asset,True,True,True,134,العملاء .,4
12304,1230,12304 - السلفيات,السلفيات,asset,True,True,True,1352,السلفيات,4
12307,1230,12307 - المدينون والدائنون,المدينون والدائنون,asset,True,True,True,1354,المدينون والدائنون,4
22103,2210,22103 - المقاولون .,المقاولون .,liability,True,True,True,232,المقاولون .,4
22104,2210,22104 - الموردين .,الموردين .,liability,True,True,True,234,الموردين .,4
22201,2220,22201 - عملاء دفعات مقدمة .,عملاء دفعات مقدمة .,liability,True,True,True,221,عملاء دفعات مقدمة .,4
22202,2220,22202 - العملاء تشوينات .,العملاء تشوينات .,liability,True,True,True,233,العملاء تشوينات .,4
22303,2230,22303 - ضرائب الخصم,ضرائب الخصم,liability,True,True,True,2352,ضرائب الخصم,4
22306,2230,22306 - ضرائب القيمة المضافة,ضرائب القيمة المضافة,liability,True,True,True,2356,ضرائب القيمة المضافة,4
22701,2270,22701 - تامينات للغير .,تامينات للغير .,liability,True,True,True,236,تامينات للغير .,4
42101,4210,42101 - ارباح وخسائر راسمالية.,ارباح وخسائر راسمالية.,revenue,True,True,True,56,ارباح وخسائر راسمالية.,4
