LegacyID,LegacyCode,LegacyName,LegacyPosting,LegacyType,NewCode,NewAccountName,NewParentCode,NewType,NewPosting
1,1,الاصول,0,ASSET,1000,الأصول,,ASSET,0
11,11,الاصول الثابتة .,0,ASSET,1110,أصول ثابتة (PPE),1100.0,ASSET,0
12,12,الاصول طويلة الاجل,0,ASSET,1100,أصول غير متداولة,1000.0,ASSET,0
13,13,الاصول المتداولة,0,ASSET,1200,أصول متداولة,1000.0,ASSET,0
52,52,مجمع الاهلاك .,0,ASSET,111501,مجمع الاهلاك .,1115.0,ASSET,0
111,111,الاراضى,0,ASSET,11101,الاراضى,1110.0,ASSET,0
112,112,المبانى,0,ASSET,11102,المبانى,1110.0,ASSET,0
113,113,السيارات,0,ASSET,11103,السيارات,1110.0,ASSET,0
114,114,الالات والمعدات,0,ASSET,11104,الالات والمعدات,1110.0,ASSET,0
115,115,الحاسب الالى,1,ASSET,11105,الحاسب الالى,1110.0,ASSET,1
116,116,الاثاث والمهمات,1,ASSET,11106,الاثاث والمهمات,1110.0,ASSET,1
117,117,العدد والادوات,1,ASSET,11107,العدد والادوات,1110.0,ASSET,1
121,121,مشروعات تحت التنفيذ .,0,ASSET,11201,مشروعات تحت التنفيذ .,1120.0,ASSET,0
122,122,الاستثمارات .,0,ASSET,11301,الاستثمارات .,1130.0,ASSET,0
123,123,نفقات ايرادية مؤجلة .,0,ASSET,11401,نفقات ايرادية مؤجلة .,1140.0,ASSET,0
124,124,اصول ضريبية مؤجلة .,0,ASSET,11501,اصول ضريبية مؤجلة .,1150.0,ASSET,0
131::الخزينه,131,الخزينة .,1,ASSET,12101,الخزينة .,1210.0,ASSET,1
131::المخزون,131,الخزينة .,1,ASSET,12102,الخزينة .,1210.0,ASSET,1
132,132,البنوك .,1,ASSET,12103,البنوك .,1210.0,ASSET,1
133,133,الودائع .,0,ASSET,12104,الودائع .,1210.0,ASSET,0
134,134,العملاء .,1,ASSET,12201,العملاء .,1220.0,ASSET,1
135,135,الحسابات المدينة و الدائنة .,0,ASSET,12301,الحسابات المدينة و الدائنة .,1230.0,ASSET,0
136,136,المقاولون دفعات مقدمه .,0,ASSET,12401,المقاولون دفعات مقدمه .,1240.0,ASSET,0
137,137,المقاولون تشوينات .,0,ASSET,12402,المقاولون تشوينات .,1240.0,ASSET,0
138,138,الاعتمادات المستندية .,0,ASSET,12501,الاعتمادات المستندية .,1250.0,ASSET,0
139,139,اوراق القبض .,0,ASSET,12601,اوراق القبض .,1260.0,ASSET,0
521,521,مجمع اهلاك المبانى,0,ASSET,111502,مجمع اهلاك المبانى,1115.0,ASSET,0
522,522,مجمع اهلاك السيارات,0,ASSET,111503,مجمع اهلاك السيارات,1115.0,ASSET,0
523,523,مجمع اهلاك الات المعدات,0,ASSET,111504,مجمع اهلاك الات المعدات,1115.0,ASSET,0
524,524,مجمع اهلاك الحاسب الالى,0,ASSET,111505,مجمع اهلاك الحاسب الالى,1115.0,ASSET,0
525,525,مجمع اهلاك الاثاث و المهمات,0,ASSET,111506,مجمع اهلاك الاثاث و المهمات,1115.0,ASSET,0
1211,1211,تكوين سلعى,0,ASSET,11202,تكوين سلعى,1120.0,ASSET,0
1212,1212,انفاق استثمارى,0,ASSET,11203,انفاق استثمارى,1120.0,ASSET,0
1221,1221,استثمارات شركات شقيقة,0,ASSET,11302,استثمارات شركات شقيقة,1130.0,ASSET,0
1222,1222,استثمارات اخرى,0,ASSET,11303,استثمارات اخرى,1130.0,ASSET,0
1223,1223,استثمار فى اوراق مالية,0,ASSET,11304,استثمار فى اوراق مالية,1130.0,ASSET,0
1224,1224,استثمار اذون خزانة,0,ASSET,11305,استثمار اذون خزانة,1130.0,ASSET,0
1225,1225,استثمارات شركات التابعة,0,ASSET,11306,استثمارات شركات التابعة,1130.0,ASSET,0
1226,1226,صناديق استثمار,0,ASSET,11307,صناديق استثمار,1130.0,ASSET,0
1311,1311,خزينة نقدى,0,ASSET,12105,خزينة نقدى,1210.0,ASSET,0
1312,1312,خزينة شيكات,0,ASSET,12106,خزينة شيكات,1210.0,ASSET,0
1313,1313,عقود عمليات نسب التمام.,0,ASSET,12107,عقود عمليات نسب التمام.,1210.0,ASSET,0
1314,1314,الانخفاض فى ارصدة العملاء .,0,ASSET,12108,الانخفاض فى ارصدة العملاء .,1210.0,ASSET,0
1315,1315,الانخفاض فى قيم الاستثمارات .,0,ASSET,12109,الانخفاض فى قيم الاستثمارات .,1210.0,ASSET,0
1316,1316,الانخفاض فى ارصدة المدينون .,0,ASSET,12110,الانخفاض فى ارصدة المدينون .,1210.0,ASSET,0
1317,1317,مخصص انتفى الغرض منه .,0,ASSET,12111,مخصص انتفى الغرض منه .,1210.0,ASSET,0
1318,1318,مسدد من تحت حساب الاستثمار .,0,ASSET,12112,مسدد من تحت حساب الاستثمار .,1210.0,ASSET,0
1341,1341,العملاء - ضريبة القيمة المضافة .,0,ASSET,12202,العملاء - ضريبة القيمة المضافة .,1220.0,ASSET,0
1351::الاجور المستحقه,1351,الاجور المستحقة,0,ASSET,12302,الاجور المستحقة,1230.0,ASSET,0
1351::العهد,1351,العهد,0,ASSET,12303,العهد,1230.0,ASSET,0
1352::السلفيات,1352,السلفيات,1,ASSET,12304,السلفيات,1230.0,ASSET,1
1352::عوايد لم تستحق,1352,السلفيات,1,ASSET,12305,السلفيات,1230.0,ASSET,1
1353,1353,المصاريف المقدمه,0,ASSET,12306,المصاريف المقدمه,1230.0,ASSET,0
1354,1354,المدينون والدائنون,1,ASSET,12307,المدينون والدائنون,1230.0,ASSET,1
1355,1355,ايرادات مستحقة,0,ASSET,12308,ايرادات مستحقة,1230.0,ASSET,0
1356,1356,صندوق الزمالة,0,ASSET,12309,صندوق الزمالة,1230.0,ASSET,0
1357,1357,تامينات اجتماعية,0,ASSET,12310,تامينات اجتماعية,1230.0,ASSET,0
1358,1358,صندوق الجزاءات,0,ASSET,12311,صندوق الجزاءات,1230.0,ASSET,0
1359,1359,ضرائب كسب العمل,0,ASSET,12312,ضرائب كسب العمل,1230.0,ASSET,0
13111,13111,تامينات العملاء,1,ASSET,12113,تامينات العملاء,1210.0,ASSET,1
13112,13112,تامينات جهات اخرى,0,ASSET,12114,تامينات جهات اخرى,1210.0,ASSET,0
13113,13113,تامين غطاء اعتمادات مستندية,0,ASSET,12115,تامين غطاء اعتمادات مستندية,1210.0,ASSET,0
13114,13114,تامين غطاء خطاب ضمان,0,ASSET,12116,تامين غطاء خطاب ضمان,1210.0,ASSET,0
13115,13115,تامين مصلحة الجمارك,0,ASSET,12117,تامين مصلحة الجمارك,1210.0,ASSET,0
13116,13116,اعمال تحت التنفيذ .,0,ASSET,12118,اعمال تحت التنفيذ .,1210.0,ASSET,0
13511,13511,المصاريف اداريه,0,ASSET,12313,المصاريف اداريه,1230.0,ASSET,0
13512,13512,صندوق النقابة,0,ASSET,12314,صندوق النقابة,1230.0,ASSET,0
13513,13513,الامانات,0,ASSET,12315,الامانات,1230.0,ASSET,0
13516,13516,دائنو التوزيعات,0,ASSET,12316,دائنو التوزيعات,1230.0,ASSET,0
13518,13518,ايرادات مقدمه,0,ASSET,12317,ايرادات مقدمه,1230.0,ASSET,0
13519,13519,المساهمة التكافلية,0,ASSET,12318,المساهمة التكافلية,1230.0,ASSET,0
13521,13521,صندوق تكريم الشهداء,0,ASSET,12319,صندوق تكريم الشهداء,1230.0,ASSET,0
13571,13571,تامينات اجتماعية عاملين,0,ASSET,12320,تامينات اجتماعية عاملين,1230.0,ASSET,0
13572,13572,تامينات اجتماعية شركة,0,ASSET,12321,تامينات اجتماعية شركة,1230.0,ASSET,0
13591,13591,ضرائب كسب العمل عمالة,0,ASSET,12322,ضرائب كسب العمل عمالة,1230.0,ASSET,0
13592,13592,ضرائب كسب العمل مرتبات,0,ASSET,12323,ضرائب كسب العمل مرتبات,1230.0,ASSET,0
13593,13593,ضرائب كسب العمل حوافز,0,ASSET,12324,ضرائب كسب العمل حوافز,1230.0,ASSET,0
13594,13594,ضرائب كسب عمل اعضاء مجلس الادارة,0,ASSET,12325,ضرائب كسب عمل اعضاء مجلس الادارة,1230.0,ASSET,0
131111,131111,سلامة اعمال,0,ASSET,12119,سلامة اعمال,1210.0,ASSET,0
