tx_key,line_no,account_code,debit_amount,credit_amount,description,source_old_code,source_old_name
1000|2022-08-04,1,12101,0.0,430.0,تصفيه سركي العامل مصطفي ( ابو رهف ),131,الخزينة .
1000|2022-08-04,2,22103,430.0,0.0,تصفيه سركي العامل مصطفي ( ابو رهف ),232,المقاولون .
1000|2022-11-17,1,22103,1900.0,0.0,من ح/ العماله محمد السوداني,232,المقاولون .
1000|2022-11-17,2,12101,0.0,1900.0,من ح/ العماله محمد السوداني,131,الخزينة .
1002|2022-08-04,1,5100,200.0,0.0,سهره استشاري صب عاديه عماره 42,31,التكاليف .
1002|2022-08-04,2,12101,0.0,200.0,سهره استشاري صب عاديه عماره 42,131,الخزينة .
1002|2022-11-17,1,12101,0.0,2900.0,دفعه من مستخلص حداده عبد الرحمن ( للكانتين ) 200 للغفر و 2700 للكنتين,131,الخزينة .
1002|2022-11-17,2,22103,2900.0,0.0,دفعه من مستخلص حداده عبد الرحمن ( للكانتين ) 200 للغفر و 2700 للكنتين,232,المقاولون .
1003|2022-08-04,1,5100,44967.0,0.0,رواتب شهر 7,31,التكاليف .
1003|2022-08-04,2,12101,0.0,44967.0,رواتب شهر 7,131,الخزينة .
1004|2022-08-04,1,12101,0.0,400.0,حساب يوميات احمد الغفير موقع عام,131,الخزينة .
1004|2022-08-04,2,5100,400.0,0.0,حساب يوميات احمد الغفير موقع عام,31,التكاليف .
1004|2022-11-17,1,12101,0.0,1250.0,دفعه من مستخلص محمود الحداد,131,الخزينة .
1004|2022-11-17,2,22103,1250.0,0.0,دفعه من مستخلص محمود الحداد,232,المقاولون .
1005|2022-08-04,1,22103,10000.0,0.0,دفعه من مستخلص الحداده ة( عبد الرحمن ),232,المقاولون .
1005|2022-08-04,2,12101,0.0,10000.0,دفعه من مستخلص الحداده ة( عبد الرحمن ),131,الخزينة .
1006|2022-08-04,1,22103,2100.0,0.0,حساب سياره الموقع ,232,المقاولون .
1006|2022-08-04,2,12101,0.0,2100.0,حساب سياره الموقع ,131,الخزينة .
1006|2022-11-17,1,12101,0.0,1750.0,دفعه من مستخلص حداده محمد رمضان,131,الخزينة .
1006|2022-11-17,2,22103,1750.0,0.0,دفعه من مستخلص حداده محمد رمضان,232,المقاولون .
1007|2022-08-04,1,12101,0.0,4000.0,دفعه من مستخلص النجاره ( منتصر ),131,الخزينة .
1007|2022-08-04,2,22103,4000.0,0.0,دفعه من مستخلص النجاره ( منتصر ),232,المقاولون .
1008|2022-08-04,1,12101,0.0,5000.0,دفعه من مستخلص النجاره (محمد شحاته ),131,الخزينة .
1008|2022-08-04,2,22103,5000.0,0.0,دفعه من مستخلص النجاره (محمد شحاته ),232,المقاولون .
1008|2022-11-17,1,5100,3000.0,0.0,تحريب حديد بماكينه التحريب,31,التكاليف .
1008|2022-11-17,2,12101,0.0,3000.0,تحريب حديد بماكينه التحريب,131,الخزينة .
1009|2022-08-04,1,22103,2000.0,0.0,دفعه من مستخلص النجاره (محمد صبري  ),232,المقاولون .
