tx_key,entry_number,entry_date,description,notes,total_debits,total_credits,lines_total_count,description_ar,notes_ar,approval_status,status,approval_method,is_posted
1000|2022-08-04,1000,2022-08-04,تصفيه سركي العامل مصطفي ( ابو رهف ),nan,430.0,430.0,2,تصفيه سركي العامل مصطفي ( ابو رهف ),nan,approved,approved,line_based,True
1000|2022-11-17,1000,2022-11-17,من ح/ العماله محمد السوداني,nan,1900.0,1900.0,2,من ح/ العماله محمد السوداني,nan,approved,approved,line_based,True
1002|2022-08-04,1002,2022-08-04,سهره استشاري صب عاديه عماره 42,nan,200.0,200.0,2,سهره استشاري صب عاديه عماره 42,nan,approved,approved,line_based,True
1002|2022-11-17,1002,2022-11-17,دفعه من مستخلص حداده عبد الرحمن ( للكانتين ) 200 للغفر و 2700 للكنتين,nan,2900.0,2900.0,2,دفعه من مستخلص حداده عبد الرحمن ( للكانتين ) 200 للغفر و 2700 للكنتين,nan,approved,approved,line_based,True
1003|2022-08-04,1003,2022-08-04,رواتب شهر 7,nan,44967.0,44967.0,2,رواتب شهر 7,nan,approved,approved,line_based,True
1004|2022-08-04,1004,2022-08-04,حساب يوميات احمد الغفير موقع عام,nan,400.0,400.0,2,حساب يوميات احمد الغفير موقع عام,nan,approved,approved,line_based,True
1004|2022-11-17,1004,2022-11-17,دفعه من مستخلص محمود الحداد,nan,1250.0,1250.0,2,دفعه من مستخلص محمود الحداد,nan,approved,approved,line_based,True
1005|2022-08-04,1005,2022-08-04,دفعه من مستخلص الحداده ة( عبد الرحمن ),nan,10000.0,10000.0,2,دفعه من مستخلص الحداده ة( عبد الرحمن ),nan,approved,approved,line_based,True
1006|2022-08-04,1006,2022-08-04,حساب سياره الموقع ,nan,2100.0,2100.0,2,حساب سياره الموقع ,nan,approved,approved,line_based,True
1006|2022-11-17,1006,2022-11-17,دفعه من مستخلص حداده محمد رمضان,nan,1750.0,1750.0,2,دفعه من مستخلص حداده محمد رمضان,nan,approved,approved,line_based,True
1007|2022-08-04,1007,2022-08-04,دفعه من مستخلص النجاره ( منتصر ),nan,4000.0,4000.0,2,دفعه من مستخلص النجاره ( منتصر ),nan,approved,approved,line_based,True
1008|2022-08-04,1008,2022-08-04,دفعه من مستخلص النجاره (محمد شحاته ),nan,5000.0,5000.0,2,دفعه من مستخلص النجاره (محمد شحاته ),nan,approved,approved,line_based,True
1008|2022-11-17,1008,2022-11-17,تحريب حديد بماكينه التحريب,nan,3000.0,3000.0,2,تحريب حديد بماكينه التحريب,nan,approved,approved,line_based,True
1009|2022-08-04,1009,2022-08-04,دفعه من مستخلص النجاره (محمد صبري  ),nan,2000.0,2000.0,2,دفعه من مستخلص النجاره (محمد صبري  ),nan,approved,approved,line_based,True
100|2022-10-08,100,2022-10-08,من حساب رواتب شهر 9,nan,36690.0,36690.0,2,من حساب رواتب شهر 9,nan,approved,approved,line_based,True
100|2023-01-19,100,2023-01-19,سلفيات,nan,95000.0,95000.0,2,سلفيات,nan,approved,approved,line_based,True
1010|2022-08-04,1010,2022-08-04,دفعه من مستخلص النجاره (حماده بخيت  ),nan,2000.0,2000.0,2,دفعه من مستخلص النجاره (حماده بخيت  ),nan,approved,approved,line_based,True
1010|2022-11-17,1010,2022-11-17,دفعه من حساب محمد نصر الفرمجي,nan,2000.0,2000.0,2,دفعه من حساب محمد نصر الفرمجي,nan,approved,approved,line_based,True
10112|2022-11-17,10112,2022-11-17,شراء خزان  3 م 3 للموقع + م نقل الخزان الي الموقع ,nan,0.0,2300.0,1,شراء خزان  3 م 3 للموقع + م نقل الخزان الي الموقع ,nan,approved,approved,line_based,True
1011|2022-08-04,1011,2022-08-04,دفعه من مستخلص النجاره (محمد جمال  ),nan,8000.0,8000.0,2,دفعه من مستخلص النجاره (محمد جمال  ),nan,approved,approved,line_based,True
1012|2022-08-04,1012,2022-08-04,حساب الفرمجي ( محمد ),nan,1300.0,1300.0,2,حساب الفرمجي ( محمد ),nan,approved,approved,line_based,True
1012|2022-11-17,1012,2022-11-17,شراء خزان  3 م 3 للموقع + م نقل الخزان الي الموقع ,nan,2300.0,0.0,1,شراء خزان  3 م 3 للموقع + م نقل الخزان الي الموقع ,nan,approved,approved,line_based,True
1013|2022-08-04,1013,2022-08-04,حساب مياه المعالجه ( مصطفي),nan,1800.0,1800.0,2,حساب مياه المعالجه ( مصطفي),nan,approved,approved,line_based,True
1014|2022-11-17,1014,2022-11-17,بنزين للمولد  في السهره,nan,90.0,90.0,2,بنزين للمولد  في السهره,nan,approved,approved,line_based,True
1016|2022-08-04,1016,2022-08-04,دفعه من حساب الرمال النظيفه المورده من الخارج ( ياسين ),nan,12690.0,12690.0,2,دفعه من حساب الرمال النظيفه المورده من الخارج ( ياسين ),nan,approved,approved,line_based,True
1016|2022-11-17,1016,2022-11-17,من حساب سياره امير 2,nan,750.0,750.0,2,من حساب سياره امير 2,nan,approved,approved,line_based,True
1017|2022-08-04,1017,2022-08-04,حساب الهراس ( ياسين),nan,1400.0,1400.0,2,حساب الهراس ( ياسين),nan,approved,approved,line_based,True
1018|2022-08-04,1018,2022-08-04,حساب لودر ياسين,nan,15910.0,15910.0,2,حساب لودر ياسين,nan,approved,approved,line_based,True
1018|2022-11-19,1018,2022-11-19,بنزين للمولد ,nan,150.0,150.0,2,بنزين للمولد ,nan,approved,approved,line_based,True
1019|2022-08-04,1019,2022-08-04,دفعه من مستخلص الحداده  ( محمود),nan,5000.0,5000.0,2,دفعه من مستخلص الحداده  ( محمود),nan,approved,approved,line_based,True
101|2023-01-29,101,2023-01-29,سلفيات,nan,266200.0,266200.0,2,سلفيات,nan,approved,approved,line_based,True
1020|2022-08-04,1020,2022-08-04,دفعه من حساب لودر عادل الجمل,nan,3000.0,3000.0,2,دفعه من حساب لودر عادل الجمل,nan,approved,approved,line_based,True
1020|2022-11-19,1020,2022-11-19,ماء للكرافان,nan,45.0,45.0,2,ماء للكرافان,nan,approved,approved,line_based,True
1021|2022-08-06,1021,2022-08-06,سهره استشاري تسليم عاديه عماره 27. عماره 24 مسلحه,nan,200.0,200.0,2,سهره استشاري تسليم عاديه عماره 27. عماره 24 مسلحه,nan,approved,approved,line_based,True
1022|2022-08-06,1022,2022-08-06,سهره استشاري صب عاديه 27,nan,200.0,200.0,2,سهره استشاري صب عاديه 27,nan,approved,approved,line_based,True
1022|2022-11-19,1022,2022-11-19,اكراميه بمب صب سقف اول 43,nan,100.0,100.0,2,اكراميه بمب صب سقف اول 43,nan,approved,approved,line_based,True
1023|2022-08-07,1023,2022-08-07,بنزين للمولد ,nan,175.0,175.0,2,بنزين للمولد ,nan,approved,approved,line_based,True
1024|2022-08-07,1024,2022-08-07,ماء حلو للكرافان + فيشه ودوايه,nan,48.0,48.0,2,ماء حلو للكرافان + فيشه ودوايه,nan,approved,approved,line_based,True
1024|2022-11-19,1024,2022-11-19,اكراميه بمب صب عمود اول 29,nan,50.0,50.0,2,اكراميه بمب صب عمود اول 29,nan,approved,approved,line_based,True
1025|2022-08-07,1025,2022-08-07,4شكاره جير لتخطيط عمارات 40.41.44.,nan,90.0,90.0,2,4شكاره جير لتخطيط عمارات 40.41.44.,nan,approved,approved,line_based,True
1026|2022-08-07,1026,2022-08-07,حساب لودر   ( ابو مالك) ,nan,1600.0,1600.0,2,حساب لودر   ( ابو مالك) ,nan,approved,approved,line_based,True
1026|2022-11-19,1026,2022-11-19,اكراميه بمب صب عمود ثاني 24,nan,50.0,50.0,2,اكراميه بمب صب عمود ثاني 24,nan,approved,approved,line_based,True
1028|2022-08-07,1028,2022-08-07,حساب هراس  ( ابو مالك) ,nan,700.0,700.0,2,حساب هراس  ( ابو مالك) ,nan,approved,approved,line_based,True
1028|2022-11-19,1028,2022-11-19,سهره استشاري استلام اعمده ثاني 37,nan,200.0,200.0,2,سهره استشاري استلام اعمده ثاني 37,nan,approved,approved,line_based,True
1029|2022-08-07,1029,2022-08-07,غفره العرب عن شهر 7 ( ابومالك ),nan,5000.0,5000.0,2,غفره العرب عن شهر 7 ( ابومالك ),nan,approved,approved,line_based,True
102|2022-10-08,102,2022-10-08,سهره استشاري صب سقف 27.وعمود اول 24. + اكراميه البمب,nan,175.0,175.0,2,سهره استشاري صب سقف 27.وعمود اول 24. + اكراميه البمب,nan,approved,approved,line_based,True
102|2023-02-08,102,2023-02-08,سلفيات,nan,317000.0,317000.0,2,سلفيات,nan,approved,approved,line_based,True
1030|2022-08-07,1030,2022-08-07,حساب فني طابعات لتعريف الطابعه علي اللاب مرتين ,nan,400.0,400.0,2,حساب فني طابعات لتعريف الطابعه علي اللاب مرتين ,nan,approved,approved,line_based,True
1030|2022-11-19,1030,2022-11-19,سهره استشاري صب اعمده ثاني 24,nan,200.0,200.0,2,سهره استشاري صب اعمده ثاني 24,nan,approved,approved,line_based,True
1031|2022-08-07,1031,2022-08-07,باقي حساب لودر عادل ,nan,2270.0,2270.0,2,باقي حساب لودر عادل ,nan,approved,approved,line_based,True
1032|2022-08-07,1032,2022-08-07,ماء للكرافان يوم 6/8,nan,33.0,33.0,2,ماء للكرافان يوم 6/8,nan,approved,approved,line_based,True
1032|2022-11-20,1032,2022-11-20,شداد 160 للمولد ,nan,85.0,85.0,2,شداد 160 للمولد ,nan,approved,approved,line_based,True
1033|2022-08-07,1033,2022-08-07,اكراميه بمب صب عاديه 27,nan,100.0,100.0,2,اكراميه بمب صب عاديه 27,nan,approved,approved,line_based,True
1034|2022-08-07,1034,2022-08-07,ماء للاستشاري  صب 27,nan,20.0,20.0,2,ماء للاستشاري  صب 27,nan,approved,approved,line_based,True
1034|2022-11-20,1034,2022-11-20, 1ك كيما بوكس131 لمعالجه حديد سقف اول 43 ,nan,325.0,325.0,2, 1ك كيما بوكس131 لمعالجه حديد سقف اول 43 ,nan,approved,approved,line_based,True
1035|2022-08-08,1035,2022-08-08,اجر يوميات نجاره كمر تشوين الحديد,nan,700.0,700.0,2,اجر يوميات نجاره كمر تشوين الحديد,nan,approved,approved,line_based,True
1036|2022-08-08,1036,2022-08-08,وجبه المهندسين في سهرات الصب يومان,nan,200.0,200.0,2,وجبه المهندسين في سهرات الصب يومان,nan,approved,approved,line_based,True
1036|2022-11-20,1036,2022-11-20,مطرقه +اجنه +2 مكنسه ,nan,250.0,250.0,2,مطرقه +اجنه +2 مكنسه ,nan,approved,approved,line_based,True
1037|2022-08-08,1037,2022-08-08,اكراميه معمل التربه,nan,200.0,200.0,2,اكراميه معمل التربه,nan,approved,approved,line_based,True
1038|2022-08-08,1038,2022-08-08,اكراميه سواق الخشب وتخصم علي المقاولين,nan,200.0,200.0,2,اكراميه سواق الخشب وتخصم علي المقاولين,nan,approved,approved,line_based,True
1038|2022-11-20,1038,2022-11-20,باقي حساب شركه الطيب للبسكوت,nan,1000.0,1000.0,2,باقي حساب شركه الطيب للبسكوت,nan,approved,approved,line_based,True
1039|2022-08-08,1039,2022-08-08,اجر كلارك تنزيل الخشب تخصم علي المقاولين,nan,200.0,200.0,2,اجر كلارك تنزيل الخشب تخصم علي المقاولين,nan,approved,approved,line_based,True
103|2022-12-25,103,2022-12-25,رد سلفيات,nan,60000.0,60000.0,2,رد سلفيات,nan,approved,approved,line_based,True
1040|2022-08-08,1040,2022-08-08,سهره استشاري صب مسلحه 31,nan,200.0,200.0,2,سهره استشاري صب مسلحه 31,nan,approved,approved,line_based,True
1040|2022-11-20,1040,2022-11-20,ك زيت للمولد ,nan,65.0,65.0,2,ك زيت للمولد ,nan,approved,approved,line_based,True
1041|2022-08-08,1041,2022-08-08,اجر سياره الاستشاري عن شهر 7,nan,6000.0,6000.0,2,اجر سياره الاستشاري عن شهر 7,nan,approved,approved,line_based,True
1042|2022-08-08,1042,2022-08-08,ايجار دكاك يدوي عمارات 32.26 + النقل,nan,250.0,250.0,2,ايجار دكاك يدوي عمارات 32.26 + النقل,nan,approved,approved,line_based,True
1042|2022-11-20,1042,2022-11-20,وجبه مهندس في صب عمود ثاني 24,nan,50.0,50.0,2,وجبه مهندس في صب عمود ثاني 24,nan,approved,approved,line_based,True
1043|2022-08-09,1043,2022-08-09,اكراميه بمب صب مسلحه 24.31.,nan,100.0,100.0,2,اكراميه بمب صب مسلحه 24.31.,nan,approved,approved,line_based,True
1044|2022-08-09,1044,2022-08-09,دفعه من حساب العامل مصطفي ,nan,600.0,600.0,2,دفعه من حساب العامل مصطفي ,nan,approved,approved,line_based,True
1044|2022-11-20,1044,2022-11-20,دفعه من مستخلص محاره محمد عبد الجواد ( محاره),nan,3000.0,3000.0,2,دفعه من مستخلص محاره محمد عبد الجواد ( محاره),nan,approved,approved,line_based,True
1045|2022-08-09,1045,2022-08-09,ماء للكرافان +حافظه ملفات +ختامه,nan,82.0,82.0,2,ماء للكرافان +حافظه ملفات +ختامه,nan,approved,approved,line_based,True
1046|2022-08-09,1046,2022-08-09,ايجار شقه المهندس طارق عن شهر 8,nan,4500.0,4500.0,2,ايجار شقه المهندس طارق عن شهر 8,nan,approved,approved,line_based,True
1046|2022-11-21,1046,2022-11-21,دفعه من مستخلص نجاره علي خليل  بتاريخ 17/11  ,nan,3000.0,3000.0,2,دفعه من مستخلص نجاره علي خليل  بتاريخ 17/11  ,nan,approved,approved,line_based,True
