code,parent_code,name,name_ar,category,allow_transactions,is_postable,is_standard,legacy_code,legacy_name,level_hint
1000,,1000,الأصول,asset,False,False,False,,,1
1000,,1000,الأصول,asset,False,False,False,1,الاصول,1
2000,,2000,الالتزامات,liability,False,False,False,,,1
2000,,2000,الالتزامات,liability,False,False,False,2,الخصوم,1
3000,,3000,حقوق الملكية,equity,False,False,False,,,1
3000,,3000,حقوق الملكية,equity,False,False,False,21,حقوق الملكية,1
4000,,4000,الإيرادات,revenue,False,False,False,,,1
4000,,4000,الإيرادات,revenue,False,False,False,4,الايرادات .,1
5000,,5000,المصروفات والتكاليف,expense,False,False,False,,,1
5000,,5000,المصروفات والتكاليف,expense,False,False,False,3,المصروفات,1
1100,1000,1100,أصول غير متداولة,asset,False,False,False,,,2
1100,1000,1100,أصول غير متداولة,asset,False,False,False,12,الاصول طويلة الاجل,2
1200,1000,1200,أصول متداولة,asset,False,False,False,,,2
1200,1000,1200,أصول متداولة,asset,False,False,False,13,الاصول المتداولة,2
2200,2000,2200,التزامات متداولة,liability,False,False,False,,,2
2200,2000,2200,التزامات متداولة,liability,False,False,False,23,الالتزامات المتداولة,2
3100,3000,3100,رأس المال,equity,True,True,False,,,2
4100,4000,4100,إيرادات التشغيل/العقود,revenue,True,True,False,,,2
4100,4000,4100,إيرادات التشغيل/العقود,revenue,True,True,False,41,ايرادات العمليات,2
4200,4000,4200,إيرادات أخرى,revenue,True,True,False,,,2
4200,4000,4200,إيرادات أخرى,revenue,True,True,False,42,ايرادات متنوعة,2
5100,5000,5100,تكاليف المشروعات/التشغيل,expense,True,True,False,,,2
5100,5000,5100,تكاليف المشروعات/التشغيل,expense,True,True,False,31,التكاليف .,2
1110,1100,1110,أصول ثابتة (PPE),asset,False,False,False,,,3
1110,1100,1110,أصول ثابتة (PPE),asset,False,False,False,11,الاصول الثابتة .,3
1210,1200,1210,نقدية وبنوك وودائع,asset,False,False,False,,,3
1220,1200,1220,عملاء وأوراق قبض,asset,False,False,False,,,3
1230,1200,1230,ذمم مدينة أخرى/سلف/مقدمات,asset,False,False,False,,,3
2210,2200,2210,موردون/مقاولون/أوراق دفع,liability,False,False,False,,,3
2220,2200,2220,دفعات مقدمة واحتجازات العملاء (Retention),liability,False,False,False,,,3
2230,2200,2230,ضرائب مستحقة,liability,False,False,False,,,3
2270,2200,2270,تأمينات للغير/أمانات,liability,False,False,False,,,3
4210,4200,4210,أرباح/خسائر رأسمالية,revenue,True,True,False,,,3
31001,3100,31001,راس المال .,equity,True,True,False,211,راس المال .,3
11105,1110,11105,الحاسب الالى,asset,True,True,False,115,الحاسب الالى,4
11106,1110,11106,الاثاث والمهمات,asset,True,True,False,116,الاثاث والمهمات,4
11107,1110,11107,العدد والادوات,asset,True,True,False,117,العدد والادوات,4
12101,1210,12101,الخزينة .,asset,True,True,False,131,الخزينة .,4
12103,1210,12103,البنوك .,asset,True,True,False,132,البنوك .,4
12113,1210,12113,تامينات العملاء,asset,True,True,False,13111,تامينات العملاء,4
12123,1210,12123,تامينات لدى الغير .,asset,True,True,False,131313,تامينات لدى الغير .,4
12201,1220,12201,العملاء .,asset,True,True,False,134,العملاء .,4
12304,1230,12304,السلفيات,asset,True,True,False,1352,السلفيات,4
12307,1230,12307,المدينون والدائنون,asset,True,True,False,1354,المدينون والدائنون,4
22103,2210,22103,المقاولون .,liability,True,True,False,232,المقاولون .,4
22104,2210,22104,الموردين .,liability,True,True,False,234,الموردين .,4
22201,2220,22201,عملاء دفعات مقدمة .,liability,True,True,False,221,عملاء دفعات مقدمة .,4
22202,2220,22202,العملاء تشوينات .,liability,True,True,False,233,العملاء تشوينات .,4
22303,2230,22303,ضرائب الخصم,liability,True,True,False,2352,ضرائب الخصم,4
22306,2230,22306,ضرائب القيمة المضافة,liability,True,True,False,2356,ضرائب القيمة المضافة,4
22701,2270,22701,تامينات للغير .,liability,True,True,False,236,تامينات للغير .,4
42101,4210,42101,ارباح وخسائر راسمالية.,revenue,True,True,False,56,ارباح وخسائر راسمالية.,4
