entry_no,entry_date,account_id,debit_amount,credit_amount,description,project_code,classification_code,work_analysis_code,analysis_work_item_code,sub_tree_code,org_id
1.0,2022-08-31 00:00:00,7054506,,,مستخلص رقم 3,0.0,7.0,,,30000.0,d5789445-11e3-4ad6-9297-b565216751141
1.0,2022-08-31 00:00:00,7054506,,,مستخلص رقم 3,1.0,7.0,,,30000.0,d5789445-11e3-4ad6-9297-b565216751141
2.0,2022-08-31 00:00:00,30234,,,مستخلص رقم 3,1.0,8.0,1.0,1.0,93.0,d5789445-11e3-4ad6-9297-b565216751141
2.0,2022-08-31 00:00:00,30234,,,مستخلص رقم 3,1.0,8.0,1.0,1.0,94.0,d5789445-11e3-4ad6-9297-b565216751141
2.0,2022-08-31 00:00:00,40411,,,مستخلص رقم 3,1.0,8.0,1.0,1.0,95.0,d5789445-11e3-4ad6-9297-b565216751141
2.0,2022-08-31 00:00:00,121233,,,مستخلص رقم 3,1.0,8.0,1.0,1.0,96.0,d5789445-11e3-4ad6-9297-b565216751141
2.0,2022-08-31 00:00:00,147137,,,مستخلص رقم 3,1.0,8.0,1.0,1.0,97.0,d5789445-11e3-4ad6-9297-b565216751141
2.0,2022-08-31 00:00:00,24187,,,مستخلص رقم 3,1.0,8.0,1.0,1.0,98.0,d5789445-11e3-4ad6-9297-b565216751141
2.0,2022-08-31 00:00:00,70545,,,مستخلص رقم 3,1.0,8.0,1.0,1.0,99.0,d5789445-11e3-4ad6-9297-b565216751141
2.0,2022-08-31 00:00:00,0,,,مستخلص رقم 3,1.0,8.0,1.0,1.0,100.0,d5789445-11e3-4ad6-9297-b565216751141
2.0,2022-08-31 00:00:00,264,,,مستخلص رقم 3,1.0,8.0,1.0,1.0,101.0,d5789445-11e3-4ad6-9297-b565216751141
2.0,2022-08-31 00:00:00,5000,,,مستخلص رقم 3,1.0,8.0,1.0,1.0,102.0,d5789445-11e3-4ad6-9297-b565216751141
2.0,2022-08-31 00:00:00,67186,,,مستخلص رقم 3,1.0,8.0,,,30008.0,d5789445-11e3-4ad6-9297-b565216751141
2.0,2022-08-31 00:00:00,352725,,,مستخلص رقم 3,1.0,8.0,,,30009.0,d5789445-11e3-4ad6-9297-b565216751141
2.0,2022-08-31 00:00:00,17636,,,مستخلص رقم 3,1.0,8.0,,,30010.0,d5789445-11e3-4ad6-9297-b565216751141
