entry_number,entry_date,description,org_id
1.0,2022-08-31 00:00:00,مستخلص رقم 3,d5789445-11e3-4ad6-9297-b565216751141
2.0,2022-08-31 00:00:00,مستخلص رقم 3,d5789445-11e3-4ad6-9297-b565216751141
3.0,2022-08-31 00:00:00,مستخلص رقم 3,d5789445-11e3-4ad6-9297-b565216751141
4.0,2022-09-30 00:00:00,مستخلص رقم 4,d5789445-11e3-4ad6-9297-b565216751141
5.0,2022-09-30 00:00:00,مستخلص رقم 4,d5789445-11e3-4ad6-9297-b565216751141
6.0,2022-09-30 00:00:00,مستخلص رقم 4,d5789445-11e3-4ad6-9297-b565216751141
7.0,2022-10-30 00:00:00,مستخلص رقم 5,d5789445-11e3-4ad6-9297-b565216751141
8.0,2022-10-30 00:00:00,مستخلص رقم 5,d5789445-11e3-4ad6-9297-b565216751141
9.0,2022-10-30 00:00:00,مستخلص رقم 5,d5789445-11e3-4ad6-9297-b565216751141
10.0,2022-10-01 00:00:00,من ح/ سياره امير 1,d5789445-11e3-4ad6-9297-b565216751141
10.0,2022-11-30 00:00:00,مستخلص رقم 6,d5789445-11e3-4ad6-9297-b565216751141
11.0,2022-11-30 00:00:00,مستخلص رقم 6,d5789445-11e3-4ad6-9297-b565216751141
12.0,2022-10-01 00:00:00,من / بنزين للمولد,d5789445-11e3-4ad6-9297-b565216751141
12.0,2022-11-30 00:00:00,مستخلص رقم 6,d5789445-11e3-4ad6-9297-b565216751141
13.0,2022-12-30 00:00:00,مستخلص رقم 7,d5789445-11e3-4ad6-9297-b565216751141
14.0,2022-10-01 00:00:00,مياه 19 لتر ,d5789445-11e3-4ad6-9297-b565216751141
14.0,2022-12-30 00:00:00,مستخلص رقم 7,d5789445-11e3-4ad6-9297-b565216751141
15.0,2022-12-30 00:00:00,مستخلص رقم 7,d5789445-11e3-4ad6-9297-b565216751141
16.0,2022-10-01 00:00:00,سهره صب قواعد 44 واستلام نجاره سقف 24.,d5789445-11e3-4ad6-9297-b565216751141
