transaction_id,account_id,classification_id,project_id,analysis_work_item_id,sub_tree_id,debit_amount,credit_amount,description,notes,org_id
TXN00001-L1,7accdb8c-bbd4-4b2c-abdd-706b8070b41a,7.0,0.0,,30000.0,7054506.0,0.0,مستخلص رقم 3,,d5789445-11e3-4ad6-9297-b56521675114
TXN00001-L2,b9d58bc5-9721-45a4-9477-244be212e724,7.0,1.0,,30000.0,0.0,7054506.0,مستخلص رقم 3,,d5789445-11e3-4ad6-9297-b56521675114
TXN00002-L3,b7b03032-4229-41bb-92e6-4712f7597010,8.0,1.0,1.0,93.0,30234.0,0.0,مستخلص رقم 3,,d5789445-11e3-4ad6-9297-b56521675114
TXN00002-L4,b7b03032-4229-41bb-92e6-4712f7597010,8.0,1.0,1.0,94.0,30234.0,0.0,مستخلص رقم 3,,d5789445-11e3-4ad6-9297-b56521675114
TXN00002-L5,b7b03032-4229-41bb-92e6-4712f7597010,8.0,1.0,1.0,95.0,40411.0,0.0,مستخلص رقم 3,,d5789445-11e3-4ad6-9297-b56521675114
TXN00002-L6,b7b03032-4229-41bb-92e6-4712f7597010,8.0,1.0,1.0,96.0,121233.0,0.0,مستخلص رقم 3,,d5789445-11e3-4ad6-9297-b56521675114
TXN00002-L7,b7b03032-4229-41bb-92e6-4712f7597010,8.0,1.0,1.0,97.0,147137.0,0.0,مستخلص رقم 3,,d5789445-11e3-4ad6-9297-b56521675114
TXN00002-L8,b7b03032-4229-41bb-92e6-4712f7597010,8.0,1.0,1.0,98.0,24187.0,0.0,مستخلص رقم 3,,d5789445-11e3-4ad6-9297-b56521675114
TXN00002-L9,b7b03032-4229-41bb-92e6-4712f7597010,8.0,1.0,1.0,99.0,70545.0,0.0,مستخلص رقم 3,,d5789445-11e3-4ad6-9297-b56521675114
TXN00002-L10,b7b03032-4229-41bb-92e6-4712f7597010,8.0,1.0,1.0,100.0,0.0,0.0,مستخلص رقم 3,,d5789445-11e3-4ad6-9297-b56521675114
TXN00002-L11,b7b03032-4229-41bb-92e6-4712f7597010,8.0,1.0,1.0,101.0,264.0,0.0,مستخلص رقم 3,,d5789445-11e3-4ad6-9297-b56521675114
TXN00002-L12,b7b03032-4229-41bb-92e6-4712f7597010,8.0,1.0,1.0,102.0,5000.0,0.0,مستخلص رقم 3,,d5789445-11e3-4ad6-9297-b56521675114
TXN00002-L13,e0db9265-2422-4661-81bb-b6ddc31cdcb5,8.0,1.0,,30008.0,67186.0,0.0,مستخلص رقم 3,,d5789445-11e3-4ad6-9297-b56521675114
TXN00002-L14,0e960703-a40e-4fcb-b19a-3564d2de7e75,8.0,1.0,,30009.0,352725.0,0.0,مستخلص رقم 3,,d5789445-11e3-4ad6-9297-b56521675114
TXN00002-L15,0e960703-a40e-4fcb-b19a-3564d2de7e75,8.0,1.0,,30010.0,17636.0,0.0,مستخلص رقم 3,,d5789445-11e3-4ad6-9297-b56521675114
TXN00002-L16,31a3d74c-c3c4-42ac-a4c9-528871c64052,8.0,1.0,,30007.0,335929.0,0.0,مستخلص رقم 3,,d5789445-11e3-4ad6-9297-b56521675114
TXN00002-L17,217dd6e7-5840-4d87-b8ae-bd7235acd42e,8.0,1.0,,30006.0,705451.0,0.0,مستخلص رقم 3,,d5789445-11e3-4ad6-9297-b56521675114
TXN00002-L18,7accdb8c-bbd4-4b2c-abdd-706b8070b41a,8.0,1.0,,30000.0,0.0,1948172.0,مستخلص رقم 3,,d5789445-11e3-4ad6-9297-b56521675114
TXN00003-L19,e6aa6eb7-2d3a-4b27-a1a7-bbb5e04a9842,8.0,1.0,30000.0,40000.0,4686423.0,0.0,مستخلص رقم 3,,d5789445-11e3-4ad6-9297-b56521675114
