reference_number,transaction_date,description,total_debit,total_credit,org_id
1,2022-08-31,مستخلص رقم 3,7054506.00,7054506.00,d5789445-11e3-4ad6-9297-b56521675114
2,2022-08-31,مستخلص رقم 3,1948172.00,1948172.00,d5789445-11e3-4ad6-9297-b56521675114
3,2022-08-31,مستخلص رقم 3,5106334.00,5106334.00,d5789445-11e3-4ad6-9297-b56521675114
4,2022-09-30,مستخلص رقم 4,5767674.00,5767674.00,d5789445-11e3-4ad6-9297-b56521675114
5,2022-09-30,مستخلص رقم 4,1588575.09,1588574.00,d5789445-11e3-4ad6-9297-b56521675114
6,2022-09-30,مستخلص رقم 4,4179099.17,4179100.00,d5789445-11e3-4ad6-9297-b56521675114
7,2022-10-30,مستخلص رقم 5,3916055.50,3916055.50,d5789445-11e3-4ad6-9297-b56521675114
8,2022-10-30,مستخلص رقم 5,1078587.34,1078587.34,d5789445-11e3-4ad6-9297-b56521675114
9,2022-10-30,مستخلص رقم 5,2837468.16,2837468.16,d5789445-11e3-4ad6-9297-b56521675114
10,2022-10-01,من ح/ سياره امير 1,200.00,200.00,d5789445-11e3-4ad6-9297-b56521675114
10,2022-11-30,مستخلص رقم 6,7863446.50,7863446.50,d5789445-11e3-4ad6-9297-b56521675114
11,2022-11-30,مستخلص رقم 6,2165807.30,2165807.30,d5789445-11e3-4ad6-9297-b56521675114
12,2022-10-01,من / بنزين للمولد,160.00,160.00,d5789445-11e3-4ad6-9297-b56521675114
12,2022-11-30,مستخلص رقم 6,5697639.20,5697639.20,d5789445-11e3-4ad6-9297-b56521675114
13,2022-12-30,مستخلص رقم 7,5591077.25,5591077.25,d5789445-11e3-4ad6-9297-b56521675114
14,2022-10-01,مياه 19 لتر ,40.00,40.00,d5789445-11e3-4ad6-9297-b56521675114
14,2022-12-30,مستخلص رقم 7,1539828.96,1539828.96,d5789445-11e3-4ad6-9297-b56521675114
15,2022-12-30,مستخلص رقم 7,4051248.29,4051248.29,d5789445-11e3-4ad6-9297-b56521675114
16,2022-10-01,سهره صب قواعد 44 واستلام نجاره سقف 24.,100.00,100.00,d5789445-11e3-4ad6-9297-b56521675114
16,2022-12-30,مستخلص رقم 8,5037832.25,0.00,d5789445-11e3-4ad6-9297-b56521675114
16,2023-01-30,مستخلص رقم 8,0.00,5037832.25,d5789445-11e3-4ad6-9297-b56521675114
17,2023-01-30,مستخلص رقم 8,1247650.56,1247650.56,d5789445-11e3-4ad6-9297-b56521675114
18,2022-10-01,سهره صب قواعد 44 واستلام نجاره سقف 24.,100.00,100.00,d5789445-11e3-4ad6-9297-b56521675114
18,2023-01-30,مستخلص رقم 8,3790181.69,3790181.69,d5789445-11e3-4ad6-9297-b56521675114
19,2023-01-31,مستخلص رقم 9,6922223.88,6922223.88,d5789445-11e3-4ad6-9297-b56521675114
20,2022-10-02,اجر دكاك يومان  في قصيه ردم 43+المواصلات,500.00,500.00,d5789445-11e3-4ad6-9297-b56521675114
20,2023-02-28,مستخلص رقم 9,1736795.96,1736795.96,d5789445-11e3-4ad6-9297-b56521675114
21,2023-02-28,مستخلص رقم 9,5185427.91,5185427.91,d5789445-11e3-4ad6-9297-b56521675114
22,2022-10-02,شراء بسكوت للاعمده والاسقف   (مخزن),350.00,350.00,d5789445-11e3-4ad6-9297-b56521675114
22,2023-03-30,مستخلص رقم 10,5676980.88,5676980.80,d5789445-11e3-4ad6-9297-b56521675114
23,2023-03-30,مستخلص رقم 10,1440772.92,1440772.92,d5789445-11e3-4ad6-9297-b56521675114
24,2022-10-02,تقارير معاينه قاع الحفر  39,600.00,600.00,d5789445-11e3-4ad6-9297-b56521675114
24,2023-03-30,مستخلص رقم 10,4236207.95,4236207.88,d5789445-11e3-4ad6-9297-b56521675114
25,2023-04-30,مستخلص رقم 11,2616927.50,2616927.50,d5789445-11e3-4ad6-9297-b56521675114
26,2022-10-03,الي ح/ النقديه(دفعه من مستخلص النجاره محمد محمد شحاته),10000.00,10000.00,d5789445-11e3-4ad6-9297-b56521675114
